opposite sign                            	nevts: 771/447/664/585/2467
1	4299	1289379
1	4299	1289380
1	4299	1289408
1	4299	1289418
1	4299	1289419
1	4299	1289425
1	4299	1289464
1	4299	1289469
1	4299	1289471
1	4299	1289473
1	4299	1289474
1	4299	1289483
1	4299	1289487
1	4299	1289495
1	4306	1291302
1	4306	1291306
1	4306	1291312
1	4306	1291319
1	4306	1291323
1	4306	1291328
1	4306	1291340
1	4306	1291346
1	4306	1291355
1	4306	1291365
1	4306	1291370
1	4306	1291373
1	4306	1291376
1	4306	1291383
1	4306	1291402
1	4306	1291403
1	4306	1291413
1	4306	1291418
1	4306	1291426
1	4306	1291427
1	4306	1291431
1	4306	1291441
1	4306	1291459
1	4306	1291481
1	4306	1291493
1	4306	1291496
1	4306	1291531
1	4306	1291532
1	4306	1291534
1	4306	1291568
1	4306	1291570
1	4306	1291586
1	4307	1291604
1	4307	1291623
1	4307	1291634
1	4307	1291643
1	4307	1291644
1	4307	1291645
1	4307	1291652
1	4307	1291656
1	4307	1291672
1	4307	1291687
1	4307	1291688
1	4307	1291698
1	4307	1291706
1	4307	1291707
1	4307	1291712
1	4307	1291734
1	4307	1291738
1	4307	1291760
1	4307	1291764
1	4307	1291768
1	4307	1291788
1	4307	1291792
1	4307	1291804
1	4307	1291809
1	4307	1291813
1	4307	1291819
1	4307	1291827
1	4307	1291880
1	4307	1291889
1	4309	1292208
1	4309	1292211
1	4309	1292217
1	4309	1292218
1	4309	1292245
1	4309	1292265
1	4309	1292294
1	4309	1292337
1	4309	1292344
1	4309	1292346
1	4309	1292349
1	4309	1292364
1	4309	1292375
1	4309	1292385
1	4309	1292391
1	4309	1292400
1	4309	1292406
1	4309	1292421
1	4309	1292424
1	4309	1292437
1	4309	1292450
1	4309	1292453
1	4309	1292454
1	4309	1292486
1	4309	1292489
1	4309	1292491
1	4309	1292492
1	4312	1293101
1	4312	1293130
1	4312	1293132
1	4312	1293163
1	4312	1293166
1	4312	1293169
1	4312	1293175
1	4312	1293180
1	4312	1293194
1	4312	1293196
1	4312	1293209
1	4312	1293215
1	4312	1293222
1	4312	1293224
1	4312	1293236
1	4312	1293238
1	4312	1293264
1	4312	1293271
1	4312	1293275
1	4312	1293312
1	4312	1293332
1	4312	1293343
1	4312	1293361
1	4312	1293371
1	4312	1293375
1	4312	1293387
1	4313	1293404
1	4313	1293412
1	4313	1293430
1	4313	1293432
1	4313	1293433
1	4313	1293436
1	4313	1293438
1	4313	1293442
1	4313	1293477
1	4313	1293481
1	4313	1293482
1	4313	1293492
1	4313	1293493
1	4313	1293506
1	4313	1293512
1	4313	1293516
1	4313	1293518
1	4313	1293521
1	4313	1293555
1	4313	1293557
1	4313	1293564
1	4313	1293565
1	4313	1293570
1	4313	1293574
1	4313	1293624
1	4313	1293629
1	4313	1293654
1	4313	1293673
1	4313	1293680
1	4313	1293695
1	4313	1293700
1	4314	1293710
1	4314	1293711
1	4314	1293731
1	4314	1293733
1	4314	1293740
1	4314	1293742
1	4314	1293747
1	4314	1293756
1	4314	1293765
1	4314	1293769
1	4314	1293786
1	4314	1293796
1	4314	1293810
1	4314	1293818
1	4314	1293823
1	4314	1293825
1	4314	1293828
1	4314	1293835
1	4314	1293836
1	4314	1293839
1	4314	1293862
1	4314	1293864
1	4314	1293869
1	4314	1293873
1	4314	1293884
1	4314	1293886
1	4314	1293892
1	4314	1293899
1	4314	1293904
1	4314	1293912
1	4314	1293932
1	4314	1293947
1	4314	1293959
1	4314	1293969
1	4314	1293970
1	4314	1293982
1	4314	1293991
1	4314	1293995
1	4315	1294014
1	4315	1294037
1	4315	1294064
1	4315	1294069
1	4315	1294079
1	4315	1294096
1	4315	1294099
1	4315	1294100
1	4315	1294101
1	4315	1294135
1	4315	1294140
1	4315	1294142
