dPhiDiLepJet < 165 dg for ee/mm          	nevts: 180/94/308/297/879
1	13735	4119446
1	13735	4119470
1	13735	4119487
1	13735	4119497
1	13735	4119520
1	13735	4119524
1	13735	4119528
1	13735	4119535
1	13735	4119548
1	13735	4119583
1	13735	4119584
1	13735	4119587
1	13735	4119609
1	13735	4119625
1	13735	4119645
1	13735	4119647
1	13966	4188757
1	13966	4188800
1	13966	4188828
1	13966	4188847
1	13966	4188859
1	13966	4188921
1	13966	4188936
1	13966	4188945
1	13966	4188946
1	13966	4188976
1	13966	4188994
1	14013	4202864
1	14013	4202877
1	14013	4202893
1	14013	4202915
1	14013	4202976
1	14013	4202991
1	14013	4202997
1	14013	4203075
1	7753	2325207
1	7753	2325212
1	7753	2325223
1	7753	2325226
1	7753	2325322
1	7753	2325346
1	7753	2325358
1	7753	2325365
1	7753	2325404
1	7758	2326739
1	7758	2326804
1	7758	2326859
1	7758	2326860
1	7758	2326861
1	7758	2326871
1	7758	2326872
1	7758	2326885
1	7758	2326905
1	7758	2326943
1	7758	2326945
1	7758	2326952
1	7758	2326971
1	7758	2326973
1	7759	2327106
1	7759	2327123
1	7759	2327194
1	7759	2327205
1	7759	2327207
1	7759	2327256
1	7759	2327268
1	7764	2328530
1	7764	2328537
1	7764	2328614
1	7764	2328617
1	7764	2328655
1	7764	2328662
1	7764	2328670
1	7764	2328688
1	7764	2328696
1	7768	2329721
1	7768	2329722
1	7768	2329732
1	7768	2329734
1	7768	2329795
1	7768	2329828
1	7768	2329887
1	7768	2329925
1	7768	2329946
1	7768	2329954
1	7768	2329958
1	7768	2329967
1	7770	2330309
1	7770	2330357
1	7770	2330358
1	7770	2330378
1	7770	2330431
1	7770	2330437
1	7770	2330459
1	7770	2330460
1	7770	2330474
1	7770	2330477
1	7770	2330490
1	7770	2330520
1	7771	2330643
1	7771	2330650
1	7771	2330704
1	7771	2330710
1	7771	2330738
1	7771	2330755
1	7771	2330801
1	7771	2330810
1	7771	2330813
1	7771	2330865
1	7771	2330899
1	7775	2331811
1	7775	2331872
1	7775	2331880
